run,active,Kap_RAW,Ga_RAW,T_RAW,K_RAW,G_RAW,alp_RAW,phi_RAW,TIM,N_t,sig_RAW
0,yes,4,0.1,0.2,0.01,0.1,1.5,0.4,1.7,8001,1
1,yes,4,0.1,0.4,0.01,0.1,1.5,0.4,1.15,8001,1
2,yes,4,0.1,0.6,0.01,0.1,1.5,0.4,0.9,8001,1
3,yes,4,0.1,0.8,0.01,0.1,1.5,0.4,0.7,8001,1
4,yes,4,0.1,1,0.01,0.1,1.5,0.4,0.7,8001,1
5,yes,4,0.1,0.2,0.01,0.1,1.5,0.4,1.7,8001,0.1
6,yes,4,0.1,0.4,0.01,0.1,1.5,0.4,1.15,8001,0.1
7,yes,4,0.1,0.6,0.01,0.1,1.5,0.4,0.9,8001,0.1
8,yes,4,0.1,0.8,0.01,0.1,1.5,0.4,0.7,8001,0.1
9,yes,4,0.1,1,0.01,0.1,1.5,0.4,0.7,8001,0.1
